Depozito,Fiyat Durumu,Site İçerisinde,Eşya Durumu,Brüt Metrekare,Aidat,Binanın Yaşı,Takas,Net Metrekare,Türü,Balkon Tipi,Yapı Tipi,Salon Metrekare,WC Sayısı,İlan Güncelleme Tarihi,Bulunduğu Kat,Yapı Durumu,Isıtma Tipi,Oda Sayısı,İlan Oluşturma Tarihi,Balkon Sayısı,Görüntülü Gezilebilir mi?,Fiyat,Banyo Sayısı,Binanın Kat Sayısı,Kategorisi,Balkon Metrekare,Balkon Durumu,Kullanım Durumu,İlan Numarası,WC Metrekare,Banyo Metrekare
20000 TL,Genel Fiyat,Hayır,Boş,130 M2,,21 Ve Üzeri,Yok,120 M2,Konut,,Betonarme,,1,10 Mayıs 2023,2.Kat,İkinci El,Kombi Doğalgaz,3+1,10 Mayıs 2023,2,,"10,000TL",1,3,Kiralık,,Var,Boş,13204281,,
10000 TL,Genel Fiyat,Hayır,Eşyalı,105 M2,,21 Ve Üzeri,Yok,100 M2,Konut,Açık Balkon,Betonarme,,2,20 Mayıs 2023,Yüksek Giriş,İkinci El,Kombi Doğalgaz,2+1,09 Mayıs 2023,1,Evet,"10,000TL",1,4,Kiralık,,Var,Mülk Sahibi Oturuyor,13201504,,
9000 TL,Genel Fiyat,Hayır,,90 M2,,21 Ve Üzeri,,85 M2,Konut,,Betonarme,,1,16 Mayıs 2023,2.Kat,İkinci El,Kombi Doğalgaz,2+1,09 Mayıs 2023,1,Hayır,"9,000TLarrow_downward%10",1,5,Kiralık,,Var,Boş,13201483,,
25000 TL,Birim Fiyat,Hayır,Eşyalı,135 M2,50 TL,15-Nov,Yok,120 M2,Konut,Kapalı Balkon,Betonarme,20 M2,1,15 Mayıs 2023,Yüksek Giriş,İkinci El,Kombi Doğalgaz,3+1,09 Mayıs 2023,1,Evet,"12,000TL",1,5,Kiralık,8 M2,Var,Boş,13200364,5 M2,8 M2
12000 TL,Genel Fiyat,Hayır,,70 M2,,16-20,,65 M2,Konut,Açık Balkon,,,,19 Mayıs 2023,Yüksek Giriş,,Doğalgaz Sobalı,1+1,09 Mayıs 2023,1,,"6,000TL",1,3,Kiralık,,Var,Boş,13198889,,
,Genel Fiyat,Hayır,Boş,118 M2,,10-May,Yok,85 M2,Konut,,,,,09 Mayıs 2023,10.Kat,,Merkezi (Pay Ölçer),2+1,09 Mayıs 2023,,,"20,000TL",1,18,Kiralık,,,Boş,13198284,,
,Genel Fiyat,Hayır,Eşyalı,73 M2,,10-May,Yok,55 M2,Konut,,,,,09 Mayıs 2023,1.Kat,,Merkezi (Pay Ölçer),1+1,09 Mayıs 2023,,,"17,000TL",1,14,Kiralık,,,Boş,13198283,,
10000 TL,Genel Fiyat,Hayır,,40 M2,,10-May,,34 M2,Konut,,,,,09 Mayıs 2023,Yarı Bodrum,,Kombi Doğalgaz,1+1,09 Mayıs 2023,,,"5,500TL",1,4,Kiralık,,,Boş,13197037,,
,Genel Fiyat,Evet,Boş,157 M2,,15-Nov,Yok,135 M2,Konut,,,,,18 Mayıs 2023,17.Kat,,Merkezi (Pay Ölçer),3+1,09 Mayıs 2023,,,"33,000TL",2,18,Kiralık,,,Boş,13196611,,
,Genel Fiyat,Hayır,Boş,135 M2,,21 Ve Üzeri,Yok,125 M2,Konut,,,,,12 Mayıs 2023,3.Kat,,Kombi Doğalgaz,3+1,09 Mayıs 2023,,,"8,000TL",2,5,Kiralık,,,Boş,13196066,,
,Genel Fiyat,Evet,Boş,105 M2,,1,Yok,65 M2,Konut,,,,,08 Mayıs 2023,8.Kat,,Merkezi (Pay Ölçer),2+1,08 Mayıs 2023,,Evet,"24,500TL",2,16,Kiralık,,Var,Boş,13193781,,
30000 TL,Genel Fiyat,Hayır,Eşyalı,85 M2,85 TL,3,,75 M2,Konut,,Betonarme,,1,17 Mayıs 2023,3.Kat,İkinci El,Kombi Doğalgaz,2+1,08 Mayıs 2023,,,"15,000TL",1,4,Kiralık,,Var,Boş,13193506,,
,Genel Fiyat,Hayır,,130 M2,,21 Ve Üzeri,,120 M2,Konut,,,,,17 Mayıs 2023,2.Kat,,Kombi Doğalgaz,3+1,08 Mayıs 2023,,,"9,000TL",1,5,Kiralık,,Var,Boş,13191805,,
30000 TL,Genel Fiyat,Hayır,,130 M2,,21 Ve Üzeri,,120 M2,Konut,,,,,21 Mayıs 2023,2.Kat,,Kombi Doğalgaz,2+1,08 Mayıs 2023,2,,"13,000TLarrow_downward%13",1,4,Kiralık,,Var,Boş,13191748,,
15000 TL,Genel Fiyat,Hayır,,80 M2,,16-20,,70 M2,Konut,,,,,08 Mayıs 2023,1.Kat,,Kombi Doğalgaz,2+1,08 Mayıs 2023,,,"7,500TL",1,5,Kiralık,,,Boş,13191240,,
,Genel Fiyat,Hayır,Eşyalı,80 M2,,21 Ve Üzeri,Yok,75 M2,Konut,,,,,07 Mayıs 2023,Yüksek Giriş,,Kombi Doğalgaz,2+1,07 Mayıs 2023,,,"12,000TL",1,5,Kiralık,,,Boş,13188341,,
,Genel Fiyat,Hayır,Eşyalı,55 M2,,4,Yok,48 M2,Konut,,,,,18 Mayıs 2023,Çatı Katı,,Kombi Doğalgaz,2+1,07 Mayıs 2023,,,"13,750TLarrow_downward%5",1,3,Kiralık,,,Boş,13187670,,
,Genel Fiyat,Hayır,Eşyalı,75 M2,,10-May,Yok,65 M2,Konut,,,,,07 Mayıs 2023,Yüksek Giriş,,Kombi Doğalgaz,2+1,07 Mayıs 2023,,,"12,000TL",1,5,Kiralık,,,Boş,13187466,,
,Genel Fiyat,Hayır,Eşyalı,100 M2,,3,Yok,90 M2,Konut,,,,,17 Mayıs 2023,5.Kat,,Kombi Doğalgaz,3+1,07 Mayıs 2023,,,"13,500TL",1,5,Kiralık,,,Boş,13185180,,
,Genel Fiyat,Hayır,Boş,43 M2,,10-May,Yok,30 M2,Konut,,,,,07 Mayıs 2023,13.Kat,,Merkezi (Pay Ölçer),Stüdyo,07 Mayıs 2023,,,"8,500TL",1,14,Kiralık,,,Boş,13185098,,
,Genel Fiyat,Hayır,Eşyalı,171 M2,,10-May,Yok,140 M2,Konut,,,,,07 Mayıs 2023,4.Kat,,Merkezi (Pay Ölçer),3+1,07 Mayıs 2023,,,"39,000TL",3,15,Kiralık,,,Boş,13185096,,
,Genel Fiyat,Hayır,Boş,95 M2,,21 Ve Üzeri,Yok,85 M2,Konut,,,,,12 Mayıs 2023,Yüksek Giriş,,Kombi Doğalgaz,2+1,07 Mayıs 2023,,,"8,250TL",1,6,Kiralık,,,Boş,13183976,,
30000 TL,Genel Fiyat,Hayır,Eşyalı,110 M2,,21 Ve Üzeri,,90 M2,Konut,Açık Balkon,,,,16 Mayıs 2023,4.Kat,,Kombi Doğalgaz,2+1,06 Mayıs 2023,1,,"15,000TL",1,5,Kiralık,,Var,Boş,13179910,,
10000 TL,Genel Fiyat,Hayır,,90 M2,,21 Ve Üzeri,,80 M2,Konut,,,,,06 Mayıs 2023,4.Kat,,Kombi Doğalgaz,2+1,05 Mayıs 2023,,,"10,000TL",1,4,Kiralık,,,Boş,13177442,,
,Genel Fiyat,Hayır,,120 M2,,21 Ve Üzeri,,100 M2,Konut,Kapalı Balkon,Betonarme,,,05 Mayıs 2023,2.Kat,,Merkezi Doğalgaz,3+1,05 Mayıs 2023,2,,"17,000TL",1,4,Kiralık,,Var,Boş,13176712,,
,Genel Fiyat,Evet,Boş,62 M2,,1,Yok,40 M2,Konut,,,,,17 Mayıs 2023,7.Kat,,Merkezi (Pay Ölçer),1+1,05 Mayıs 2023,,Evet,"17,000TLarrow_downward%6",1,17,Kiralık,,Var,Boş,13176652,,
,Genel Fiyat,Hayır,Boş,100 M2,,21 Ve Üzeri,,95 M2,Konut,,,,,20 Mayıs 2023,2.Kat,,Kombi Doğalgaz,2+1,05 Mayıs 2023,1,,"9,000TL",1,4,Kiralık,,Var,Boş,13175781,,
29000 TL,Genel Fiyat,Evet,,70 M2,,1,,60 M2,Konut,,,,,05 Mayıs 2023,6.Kat,,Merkezi Doğalgaz,1+1,05 Mayıs 2023,,,"14,500TL",1,12,Kiralık,,,Boş,13175297,,
10000 TL,Genel Fiyat,Hayır,Eşyalı,100 M2,,21 Ve Üzeri,Yok,90 M2,Konut,,Betonarme,,1,18 Mayıs 2023,2.Kat,İkinci El,Kombi Doğalgaz,2+1,05 Mayıs 2023,,Evet,"10,000TLarrow_downward%9",1,5,Kiralık,,Yok,Boş,13174959,,
15000 TL,Genel Fiyat,Hayır,Eşyalı,150 M2,50 TL,10-May,Yok,140 M2,Konut,,Betonarme,20 M2,3,20 Mayıs 2023,4.Kat,Sıfır,Kombi Doğalgaz,3+1,05 Mayıs 2023,,Evet,"12,000TL",3,4,Kiralık,,Var,Boş,13173649,,10 M2
32000 TL,Genel Fiyat,Evet,Boş,75 M2,,0 (Yeni),Yok,70 M2,Konut,,Betonarme,,1,04 Mayıs 2023,Düz Giriş,Sıfır,Kombi Doğalgaz,2+1,04 Mayıs 2023,,Hayır,"16,000TL",1,4,Kiralık,,Yok,Boş,13169953,,
9999 TL,Genel Fiyat,Hayır,Eşyalı,120 M2,,21 Ve Üzeri,Yok,110 M2,Konut,,Betonarme,,2,20 Mayıs 2023,3.Kat,İkinci El,Kombi Doğalgaz,2+1,04 Mayıs 2023,1,Hayır,"9,999TL",1,4,Kiralık,,Var,Boş,13169415,,
20000 TL,Genel Fiyat,Hayır,,90 M2,,21 Ve Üzeri,,85 M2,Konut,,,,,06 Mayıs 2023,Düz Giriş,,Kombi Doğalgaz,2+1,04 Mayıs 2023,,,"12,500TL",1,5,Kiralık,,,Boş,13166772,,
15000 TL,Genel Fiyat,Hayır,,90 M2,50 TL,21 Ve Üzeri,,80 M2,Konut,,,,1,04 Mayıs 2023,2.Kat,,Kombi Doğalgaz,2+1,04 Mayıs 2023,1,,"12,500TL",1,5,Kiralık,,Var,Boş,13166536,,
6000 TL,Genel Fiyat,Hayır,Boş,80 M2,50 TL,21 Ve Üzeri,,70 M2,Konut,Açık Balkon,,,2,07 Mayıs 2023,Bahçe Katı,,Kombi Doğalgaz,2+1,04 Mayıs 2023,1,,"6,000TL",1,5,Kiralık,,Var,Boş,13166180,,
20000 TL,Genel Fiyat,Hayır,Boş,150 M2,,21 Ve Üzeri,Yok,140 M2,Konut,,Betonarme,,2,19 Mayıs 2023,1.Kat,İkinci El,Kombi Doğalgaz,3+1,03 Mayıs 2023,,Hayır,"18,000TL",2,4,Kiralık,,Yok,Boş,13164360,,
,Genel Fiyat,Hayır,,130 M2,,21 Ve Üzeri,Yok,115 M2,Konut,Kapalı Balkon,Betonarme,,2,17 Mayıs 2023,3.Kat,İkinci El,Kombi Doğalgaz,3+1,03 Mayıs 2023,2,Hayır,"3,150,000TL",1,5,Kiralık,,Var,Kiracı Oturuyor,13164202,,
13000 TL,Genel Fiyat,Hayır,Boş,130 M2,100 TL,21 Ve Üzeri,Yok,120 M2,Konut,Açık Balkon,Betonarme,,,03 Mayıs 2023,3.Kat,İkinci El,Kombi Doğalgaz,3+1,03 Mayıs 2023,2,,"13,000TL",1,5,Kiralık,,Var,Boş,13163431,,
15000 TL,Genel Fiyat,Hayır,Eşyalı,125 M2,100 TL,21 Ve Üzeri,,120 M2,Konut,Açık Balkon,Betonarme,,1,04 Mayıs 2023,4.Kat,İkinci El,Kombi Doğalgaz,3+1,02 Mayıs 2023,1,Evet,"15,000TL",1,6,Kiralık,,Var,Boş,13159249,,
13000 TL,Genel Fiyat,Hayır,,125 M2,,21 Ve Üzeri,,115 M2,Konut,,Betonarme,,,17 Mayıs 2023,3.Kat,İkinci El,Kombi Doğalgaz,3+1,02 Mayıs 2023,,,"13,000TL",1,5,Kiralık,,Var,Boş,13159136,,
,Genel Fiyat,Hayır,,100 M2,,21 Ve Üzeri,,90 M2,Konut,,,,,17 Mayıs 2023,2.Kat,,Isıtma Yok,3+1,02 Mayıs 2023,,,"8,500TL",1,3,Kiralık,,,Boş,13158292,,
,Genel Fiyat,Hayır,,125 M2,,16-20,,115 M2,Konut,,,,,11 Mayıs 2023,4.Kat,,Kombi Doğalgaz,3+1,02 Mayıs 2023,,,"10,300TL",1,5,Kiralık,,Var,Mülk Sahibi Oturuyor,13156789,,
,Genel Fiyat,Hayır,Boş,92 M2,,16-20,Yok,85 M2,Konut,,Betonarme,,1,19 Mayıs 2023,2.Kat,İkinci El,Kombi Doğalgaz,2+1,02 Mayıs 2023,1,Hayır,"10,000TL",1,4,Kiralık,,Var,Boş,13156324,,
7000 TL,Genel Fiyat,Hayır,Boş,110 M2,75 TL,21 Ve Üzeri,Yok,100 M2,Konut,,Betonarme,,1,10 Mayıs 2023,5.Kat,İkinci El,Kombi Doğalgaz,3+1,01 Mayıs 2023,,Hayır,"7,000TLarrow_downward%7",1,5,Kiralık,,Var,Boş,13155173,,
10000 TL,Genel Fiyat,Hayır,,130 M2,,21 Ve Üzeri,,125 M2,Konut,,,,1,01 Mayıs 2023,5.Kat,İkinci El,Kombi Doğalgaz,3+1,01 Mayıs 2023,1,Hayır,"10,000TL",1,6,Kiralık,,Var,Boş,13154926,,
10000 TL,Genel Fiyat,Hayır,Eşyalı,115 M2,30 TL,21 Ve Üzeri,Yok,105 M2,Konut,,Betonarme,,1,20 Mayıs 2023,1.Kat,İkinci El,Doğalgaz Sobalı,3+1,01 Mayıs 2023,,Evet,"9,000TLarrow_downward%5",1,4,Kiralık,,Var,Boş,13154651,,
,Genel Fiyat,Hayır,Eşyalı,30 M2,,21 Ve Üzeri,Yok,25 M2,Konut,,Betonarme,30 M2,1,20 Mayıs 2023,Düz Giriş,İkinci El,Merkezi (Pay Ölçer),1 Oda,01 Mayıs 2023,,Evet,"4,500TL",1,5,Kiralık,,Yok,Boş,13154519,,
,Genel Fiyat,Hayır,,85 M2,,10-May,,65 M2,Konut,,,,,11 Mayıs 2023,Düz Giriş,,Kombi Doğalgaz,2+1,01 Mayıs 2023,,,"13,500TL",1,5,Kiralık,,Var,Boş,13154424,,
18000 TL,Genel Fiyat,Hayır,Boş,105 M2,50 TL,21 Ve Üzeri,,100 M2,Konut,Açık Balkon,Betonarme,,1,04 Mayıs 2023,2.Kat,İkinci El,Kombi Doğalgaz,2+1,01 Mayıs 2023,3,Evet,"9,000TL",1,5,Kiralık,,Var,Boş,13153581,,
150000 TL,Genel Fiyat,Hayır,Eşyalı,90 M2,80 TL,21 Ve Üzeri,,83 M2,Konut,,Betonarme,,,17 Mayıs 2023,Bahçe Katı,İkinci El,Kombi Doğalgaz,2+1,30 Nisan 2023,,,"10,000TL",1,4,Kiralık,,Var,Boş,13149781,,
15000000 TL,Genel Fiyat,Hayır,,87 M2,20 TL,15-Nov,Yok,86 M2,Konut,,,,2,19 Mayıs 2023,Bahçe Katı,İkinci El,Kombi Doğalgaz,2+1,30 Nisan 2023,,Hayır,"9,500TL",2,5,Kiralık,,,Kiracı Oturuyor,13149493,,
21000 TL,Genel Fiyat,Hayır,Boş,110 M2,0 TL,0 (Yeni),Yok,105 M2,Konut,,Betonarme,25 M2,1,20 Mayıs 2023,8.Kat,Sıfır,Kombi Doğalgaz,3+1,29 Nisan 2023,1,Evet,"21,000TL",2,10,Kiralık,,Var,Boş,13144022,6 M2,10 M2
14500 TL,Genel Fiyat,Hayır,Boş,155 M2,150 TL,3,Yok,150 M2,Konut,Açık Balkon,Betonarme,,2,02 Mayıs 2023,Çatı Dubleks,İkinci El,Kombi Doğalgaz,4+1,29 Nisan 2023,2,Evet,"15,500TL",2,5,Kiralık,,Var,Boş,13143086,,
,Genel Fiyat,Hayır,Boş,90 M2,,21 Ve Üzeri,Yok,85 M2,Konut,,,,1,01 Mayıs 2023,3.Kat,,Kombi Doğalgaz,2+1,28 Nisan 2023,,,"12,000TL",1,4,Kiralık,,,Boş,13141494,,
,Genel Fiyat,Hayır,Eşyalı,120 M2,50 TL,21 Ve Üzeri,,115 M2,Konut,Kapalı Balkon,Betonarme,,2,21 Mayıs 2023,4.Kat,İkinci El,Kombi Doğalgaz,3+1,28 Nisan 2023,2,,"10,000TL",1,6,Kiralık,,Var,Boş,13141242,,
,Genel Fiyat,Hayır,,110 M2,50 TL,21 Ve Üzeri,,105 M2,Konut,Kapalı Balkon,Betonarme,,2,21 Mayıs 2023,3.Kat,İkinci El,Kombi Doğalgaz,3+1,28 Nisan 2023,1,,"8,500TL",1,5,Kiralık,,Var,Boş,13140928,,
9000 TL,Genel Fiyat,Hayır,Boş,72 M2,,0 (Yeni),Yok,60 M2,Konut,,Betonarme,,1,19 Mayıs 2023,Bahçe Katı,Sıfır,Kombi Doğalgaz,2+1,28 Nisan 2023,,Hayır,"9,500TL",1,5,Kiralık,,Yok,Boş,13140429,,
,Genel Fiyat,Evet,Boş,80 M2,,0 (Yeni),Yok,65 M2,Konut,,,,,28 Nisan 2023,7.Kat,,Merkezi (Pay Ölçer),1+1,28 Nisan 2023,,,"13,000TL",1,9,Kiralık,,,Boş,13139068,,
,Genel Fiyat,Hayır,Eşyalı,90 M2,75 TL,21 Ve Üzeri,,85 M2,Konut,Kapalı Balkon,Betonarme,,1,21 Mayıs 2023,6.Kat,İkinci El,Kombi Doğalgaz,2+1,27 Nisan 2023,1,,"12,000TL",1,6,Kiralık,,Var,Boş,13135252,,
15000 TL,Genel Fiyat,Hayır,Eşyalı,130 M2,,10-May,Yok,120 M2,Konut,,Betonarme,,2,17 Mayıs 2023,Çatı Dubleks,İkinci El,Kombi Doğalgaz,3+1,27 Nisan 2023,2,Hayır,"12,000TL",1,4,Kiralık,,Var,Boş,13134728,,
,Genel Fiyat,Evet,,60 M2,,1,,50 M2,Konut,,,,,18 Mayıs 2023,6.Kat,,Merkezi Doğalgaz,1+1,27 Nisan 2023,,,"13,000TL",1,12,Kiralık,,,Boş,13132331,,
,Genel Fiyat,Hayır,Boş,3.050 M2,,0 (Yeni),Yok,2.150 M2,Konut,,Betonarme,,1,27 Nisan 2023,,İkinci El,Kombi Doğalgaz,3+1,27 Nisan 2023,,Evet,"350,000TL",1,4,Kiralık,,Var,Boş,13130920,,
,Genel Fiyat,Hayır,Eşyalı,80 M2,,10-May,Yok,75 M2,Konut,,,,,26 Nisan 2023,Yüksek Giriş,,Kombi Doğalgaz,2+1,26 Nisan 2023,,,"15,000TL",1,5,Kiralık,,,Boş,13129111,,
9500 TL,Genel Fiyat,Hayır,,130 M2,,21 Ve Üzeri,Yok,120 M2,Konut,,Betonarme,,2,17 Mayıs 2023,2.Kat,,Kombi Doğalgaz,3+1,26 Nisan 2023,,,"9,500TL",1,5,Kiralık,,Var,Boş,13127838,,
13000 TL,Genel Fiyat,Hayır,Eşyalı,120 M2,,16-20,Yok,110 M2,Konut,,Betonarme,,1,26 Nisan 2023,4.Kat,İkinci El,Kombi Doğalgaz,2+1,26 Nisan 2023,,Evet,"11,000TL",1,5,Kiralık,,,Boş,13126946,,
,Genel Fiyat,Hayır,Boş,3.050 M2,,0 (Yeni),Yok,2.150 M2,Konut,,Betonarme,,1,26 Nisan 2023,,Sıfır,Kombi Doğalgaz,3+1,26 Nisan 2023,,Evet,"350,000TL",1,4,Kiralık,,Var,Boş,13126017,,
10000 TL,Birim Fiyat,Hayır,,130 M2,,21 Ve Üzeri,,125 M2,Konut,,,,,15 Mayıs 2023,1.Kat,,Kombi Doğalgaz,3+1,26 Nisan 2023,1,,"9,000TLarrow_downward%10",1,5,Kiralık,,Var,Boş,13125616,,
,Genel Fiyat,Hayır,Eşyalı,90 M2,,15-Nov,Yok,80 M2,Konut,,,,,26 Nisan 2023,Bahçe Katı,,Kombi Doğalgaz,2+1,26 Nisan 2023,,,"2,500TL",1,4,Kiralık,,,Kiracı Oturuyor,13124182,,
,Genel Fiyat,Hayır,Boş,120 M2,,21 Ve Üzeri,Yok,110 M2,Konut,,,,,26 Nisan 2023,2.Kat,,Kombi Doğalgaz,3+1,26 Nisan 2023,,,"8,000TL",1,5,Kiralık,,,Boş,13124180,,
20000 TL,Genel Fiyat,Hayır,Boş,120 M2,50 TL,21 Ve Üzeri,Yok,103 M2,Konut,Kapalı Balkon,Betonarme,,2,25 Nisan 2023,3.Kat,İkinci El,Kombi Doğalgaz,3+1,25 Nisan 2023,1,Hayır,"10,000TL",1,5,Kiralık,,Var,Kiracı Oturuyor,13121027,,
30000 TL,Genel Fiyat,Hayır,Eşyalı,100 M2,50 TL,21 Ve Üzeri,,85 M2,Konut,Kapalı Balkon,Betonarme,,2,25 Nisan 2023,3.Kat,İkinci El,Kombi Doğalgaz,3+1,25 Nisan 2023,1,Evet,"15,000TL",1,5,Kiralık,,Var,Boş,13120527,,
17000 TL,Genel Fiyat,Hayır,Boş,120 M2,50 TL,21 Ve Üzeri,Yok,103 M2,Konut,Açık Balkon,Betonarme,,1,25 Nisan 2023,4.Kat,İkinci El,Kombi Doğalgaz,3+1,25 Nisan 2023,2,Evet,"8,500TL",1,5,Kiralık,,Var,Boş,13120323,,
,Genel Fiyat,Hayır,Boş,220 M2,,21 Ve Üzeri,Yok,180 M2,Konut,,,,,24 Nisan 2023,4.Kat,,Kombi Doğalgaz,5+1,24 Nisan 2023,,,"11,000TL",3,4,Kiralık,,,Boş,13111436,,
,Genel Fiyat,Evet,Boş,157 M2,,10-May,Yok,130 M2,Konut,,,,,28 Nisan 2023,10.Kat,,Merkezi (Pay Ölçer),3+1,24 Nisan 2023,,,"27,000TL",2,18,Kiralık,,,Boş,13110974,,
9000 TL,Genel Fiyat,Hayır,Eşyalı,125 M2,,21 Ve Üzeri,Yok,120 M2,Konut,,,,,01 Mayıs 2023,4.Kat,,Kombi Doğalgaz,3+1,23 Nisan 2023,,,"9,000TLarrow_downward%10",1,5,Kiralık,,,Kiracı Oturuyor,13108811,,
,Genel Fiyat,Hayır,Boş,130 M2,,21 Ve Üzeri,Yok,120 M2,Konut,,,,,23 Nisan 2023,1.Kat,,Kombi Doğalgaz,3+1,23 Nisan 2023,,,"8,500TL",1,4,Kiralık,,,Mülk Sahibi Oturuyor,13108460,,
,Genel Fiyat,Hayır,Boş,120 M2,,21 Ve Üzeri,Yok,115 M2,Konut,,,,,25 Nisan 2023,7.Kat,,Kombi Doğalgaz,3+1,23 Nisan 2023,,,"8,000TL",1,7,Kiralık,,,Mülk Sahibi Oturuyor,13108291,,
,Genel Fiyat,Hayır,Boş,156 M2,,10-May,Yok,135 M2,Konut,,,,,23 Nisan 2023,15.Kat,,Merkezi (Pay Ölçer),3+1,23 Nisan 2023,,,"25,000TL",2,18,Kiralık,,,Boş,13107092,,
,Genel Fiyat,Hayır,Boş,95 M2,,21 Ve Üzeri,Yok,85 M2,Konut,,,,,22 Nisan 2023,3.Kat,,Kombi Doğalgaz,2+1,22 Nisan 2023,,,"8,000TL",1,5,Kiralık,,,Boş,13105124,,
,Genel Fiyat,Hayır,Eşyalı,100 M2,,21 Ve Üzeri,Yok,85 M2,Konut,,,,,22 Nisan 2023,1.Kat,,Kombi Doğalgaz,2+1,22 Nisan 2023,,,"13,000TL",1,3,Kiralık,,,Boş,13103416,,
,Genel Fiyat,Hayır,,125 M2,,21 Ve Üzeri,Yok,105 M2,Konut,,,,,22 Nisan 2023,3.Kat,,Kombi Doğalgaz,3+1,21 Nisan 2023,,,"10,000TL",1,5,Kiralık,,,Boş,13101777,,
