Depozito,Fiyat Durumu,Site İçerisinde,Eşya Durumu,Brüt Metrekare,Aidat,Binanın Yaşı,Takas,Net Metrekare,Türü,Balkon Tipi,Yapı Tipi,Salon Metrekare,WC Sayısı,İlan Güncelleme Tarihi,Bulunduğu Kat,Yapı Durumu,Isıtma Tipi,Oda Sayısı,İlan Oluşturma Tarihi,Balkon Sayısı,Görüntülü Gezilebilir mi?,Fiyat,Banyo Sayısı,Binanın Kat Sayısı,Kategorisi,Balkon Metrekare,Balkon Durumu,Kullanım Durumu,İlan Numarası,WC Metrekare,Banyo Metrekare
8000 TL,Genel Fiyat,Hayır,Boş,120 M2,100 TL,21 Ve Üzeri,,115 M2,Konut,Açık Balkon,Betonarme,,1,04 Mayıs 2023,4.Kat,İkinci El,Kombi Doğalgaz,3+1,20 Nisan 2023,1,Evet,"8,000TL",1,5,Kiralık,,Var,Boş,13099075,,
20000 TL,Genel Fiyat,Hayır,Eşyalı,100 M2,50 TL,21 Ve Üzeri,,90 M2,Konut,"Açık Balkon, Kapalı Balkon",Betonarme,,1,29 Nisan 2023,1.Kat,İkinci El,Kombi Doğalgaz,3+1,20 Nisan 2023,2,,"10,000TL",1,5,Kiralık,,Var,Boş,13098761,,
,Genel Fiyat,Hayır,Eşyalı,65 M2,,10-May,,55 M2,Konut,,,,,17 Mayıs 2023,Yüksek Giriş,,Kombi Doğalgaz,2+1,19 Nisan 2023,,,"11,000TL",1,5,Kiralık,,,Boş,13095134,,
3000 TL,Genel Fiyat,Hayır,,8 M2,50 TL,0 (Yeni),,7 M2,Konut,,Betonarme,,Yok,19 Nisan 2023,Düz Giriş,Sıfır,Kombi Doğalgaz,1 Oda,19 Nisan 2023,,Evet,"3,000TL",Yok,5,Kiralık,,Yok,Boş,13093865,,
14500 TL,Birim Fiyat,Hayır,Boş,155 M2,150 TL,3,Yok,150 M2,Konut,Açık Balkon,Betonarme,,2,02 Mayıs 2023,Çatı Dubleks,İkinci El,Kombi Doğalgaz,4+1,19 Nisan 2023,2,Evet,"15,500TL",2,5,Kiralık,,Var,Boş,13093766,,
15000 TL,Genel Fiyat,Hayır,,90 M2,200 TL,10-May,,75 M2,Konut,,,,,26 Nisan 2023,Bahçe Katı,,Kombi Doğalgaz,1+1,19 Nisan 2023,,,"7,500TL",1,5,Kiralık,,,Boş,13092411,,
25000 TL,Genel Fiyat,Hayır,Boş,130 M2,100 TL,21 Ve Üzeri,,120 M2,Konut,Açık Balkon,Betonarme,,1,17 Mayıs 2023,4.Kat,İkinci El,Kombi Doğalgaz,3+1,18 Nisan 2023,2,,"12,500TLarrow_downward%17",1,5,Kiralık,,Var,Boş,13091142,,
1 TL,Birim Fiyat,Hayır,,120 M2,1 TL,21 Ve Üzeri,,115 M2,Konut,,,,,24 Nisan 2023,2.Kat,,Kombi Doğalgaz,3+1,18 Nisan 2023,,,"11,500TL",1,6,Kiralık,,,Boş,13090118,,
0 TL,Genel Fiyat,Hayır,Eşyalı,75 M2,0 TL,10-May,,55 M2,Konut,,Betonarme,,1,17 Nisan 2023,3.Kat,İkinci El,Klimalı,1+1,17 Nisan 2023,,Evet,"4,000TL",1,13,Kiralık,,Yok,Boş,13084962,,
0 TL,Genel Fiyat,Hayır,Eşyalı,55 M2,0 TL,10-May,,45 M2,Konut,,Betonarme,,1,17 Nisan 2023,3.Kat,Sıfır,Klimalı,Stüdyo,17 Nisan 2023,,Evet,"3,000TL",1,13,Kiralık,,Yok,Boş,13084950,,
,Genel Fiyat,Hayır,Eşyalı,95 M2,,21 Ve Üzeri,Yok,85 M2,Konut,,,,,12 Mayıs 2023,Yüksek Giriş,,Kombi Doğalgaz,2+1,16 Nisan 2023,,,"12,000TL",1,6,Kiralık,,,Boş,13076870,,
19000 TL,Genel Fiyat,Hayır,,100 M2,800 TL,21 Ve Üzeri,,80 M2,Konut,,Betonarme,,2,08 Mayıs 2023,Bahçe Katı,İkinci El,Kombi Doğalgaz,2+1,15 Nisan 2023,,,"9,500TL",1,4,Kiralık,,Yok,Boş,13075198,,
,Genel Fiyat,Hayır,,95 M2,,21 Ve Üzeri,,87 M2,Konut,Kapalı Balkon,,,,11 Mayıs 2023,5.Kat,,Kombi Doğalgaz,2+1,15 Nisan 2023,1,,"16,000TL",1,6,Kiralık,,Var,Boş,13074509,,
,Genel Fiyat,Hayır,,55 M2,,0 (Yeni),,42 M2,Konut,,,,,11 Mayıs 2023,Bahçe Katı,,Kombi Doğalgaz,1+1,15 Nisan 2023,,,"15,000TL",1,4,Kiralık,,,Boş,13074487,,
,Genel Fiyat,Hayır,Boş,110 M2,,21 Ve Üzeri,Yok,95 M2,Konut,,,,,14 Nisan 2023,2.Kat,,Kombi Doğalgaz,3+1,14 Nisan 2023,,,"10,000TL",1,5,Kiralık,,,Boş,13070183,,
,Genel Fiyat,Hayır,Eşyalı,73 M2,,10-May,Yok,55 M2,Konut,,,,,14 Nisan 2023,1.Kat,,Merkezi (Pay Ölçer),1+1,14 Nisan 2023,,,"18,000TL",1,14,Kiralık,,,Boş,13069740,,
,Genel Fiyat,Hayır,Eşyalı,35 M2,,15-Nov,Yok,25 M2,Konut,,,,,17 Mayıs 2023,3.Kat,,Kombi Doğalgaz,Stüdyo,14 Nisan 2023,,,"4,000TLarrow_downward%5",1,4,Kiralık,,,Boş,13065811,,
,Genel Fiyat,Hayır,Eşyalı,95 M2,,21 Ve Üzeri,Yok,90 M2,Konut,,,,,17 Nisan 2023,3.Kat,,Kombi Doğalgaz,2+1,13 Nisan 2023,,,"7,800TL",1,4,Kiralık,,,Boş,13056466,,
,Genel Fiyat,Hayır,Boş,185 M2,,21 Ve Üzeri,Yok,170 M2,Konut,,,,,13 Nisan 2023,6.Kat,,Kombi Doğalgaz,4+1,13 Nisan 2023,,,"13,000TL",2,6,Kiralık,,,Boş,13056268,,
,Genel Fiyat,Hayır,Eşyalı,100 M2,,3,Yok,90 M2,Konut,,,,,17 Mayıs 2023,5.Kat,,Kombi Doğalgaz,3+1,12 Nisan 2023,,,"13,000TL",1,5,Kiralık,,,Boş,13053734,,
,Genel Fiyat,Hayır,Boş,115 M2,35 TL,21 Ve Üzeri,Yok,110 M2,Konut,Açık Balkon,Betonarme,20 M2,2,17 Nisan 2023,5.Kat,İkinci El,Kombi Doğalgaz,3+1,12 Nisan 2023,1,Hayır,"8,500TL",1,5,Kiralık,10 M2,Var,Boş,13053227,5 M2,10 M2
,Genel Fiyat,Hayır,,155 M2,,21 Ve Üzeri,,145 M2,Konut,,,,,18 Mayıs 2023,4.Kat,,Kombi Doğalgaz,3+1,12 Nisan 2023,,,"11,000TL",1,5,Kiralık,,,Boş,13051858,,
,Genel Fiyat,Hayır,Eşyalı,145 M2,,21 Ve Üzeri,Yok,135 M2,Konut,,,,,12 Mayıs 2023,3.Kat,,Kombi Doğalgaz,3+1,11 Nisan 2023,,,"18,000TLarrow_downward%10",2,5,Kiralık,,,Boş,13046409,,
24000 TL,Genel Fiyat,Hayır,Eşyalı,70 M2,,21 Ve Üzeri,,65 M2,Konut,,,,1,16 Nisan 2023,5.Kat,,Kombi Doğalgaz,1+1,11 Nisan 2023,1,,"12,500TL",1,6,Kiralık,,Var,Boş,13044119,,
10000 TL,Genel Fiyat,Hayır,Eşyalı,125 M2,35 TL,21 Ve Üzeri,Yok,120 M2,Konut,Açık Balkon,Betonarme,25 M2,2,17 Nisan 2023,4.Kat,İkinci El,Kombi Doğalgaz,3+1,11 Nisan 2023,1,Hayır,"9,500TLarrow_downward%5",1,5,Kiralık,10 M2,Var,Kiracı Oturuyor,13043907,5 M2,10 M2
,Genel Fiyat,Hayır,Eşyalı,80 M2,,0 (Yeni),Yok,79 M2,Konut,,,,,14 Nisan 2023,Düz Giriş,,Kombi Doğalgaz,2+1,10 Nisan 2023,,,"13,000TLarrow_downward%7",1,5,Kiralık,,,Boş,13036141,,
17000 TL,Genel Fiyat,Hayır,,125 M2,50 TL,21 Ve Üzeri,,120 M2,Konut,,,,,18 Nisan 2023,5.Kat,,Kombi Doğalgaz,3+1,09 Nisan 2023,,,"8,500TL",1,5,Kiralık,,Var,Boş,13031508,,
12000 TL,Genel Fiyat,Hayır,,85 M2,,21 Ve Üzeri,,80 M2,Konut,,Betonarme,,1,09 Nisan 2023,1.Kat,İkinci El,Kombi Doğalgaz,2+1,09 Nisan 2023,,Hayır,"9,000TL",1,5,Kiralık,,Var,Boş,13031202,,
5750 TL,Genel Fiyat,Hayır,Eşyalı,50 M2,,21 Ve Üzeri,Yok,45 M2,Konut,,Betonarme,17 M2,1,17 Nisan 2023,Düz Giriş,İkinci El,Kombi Doğalgaz,1+1,08 Nisan 2023,,Hayır,"5,750TL",1,5,Kiralık,,Yok,Boş,13029549,5 M2,
12000 TL,Genel Fiyat,Hayır,Boş,130 M2,,21 Ve Üzeri,Yok,120 M2,Konut,,Betonarme,,,17 Mayıs 2023,2.Kat,İkinci El,Kombi Doğalgaz,3+1,08 Nisan 2023,,Hayır,"9,500TLarrow_downward%5",1,5,Kiralık,,Var,Boş,13029521,,
,Genel Fiyat,Hayır,,130 M2,,21 Ve Üzeri,,120 M2,Konut,,,,,17 Mayıs 2023,4.Kat,,Kombi Doğalgaz,3+1,07 Nisan 2023,,,"15,000TL",1,5,Kiralık,,Var,Boş,13024517,,
10000 TL,Genel Fiyat,Hayır,Eşyalı,120 M2,,21 Ve Üzeri,,100 M2,Konut,Açık Balkon,Betonarme,,2,14 Nisan 2023,4.Kat,İkinci El,Kombi Doğalgaz,3+1,06 Nisan 2023,2,Hayır,"9,000TLarrow_downward%5",1,6,Kiralık,,Var,Boş,13021668,,
,Genel Fiyat,Hayır,,130 M2,,21 Ve Üzeri,,120 M2,Konut,,,,,17 Mayıs 2023,2.Kat,,Kombi Doğalgaz,3+1,06 Nisan 2023,2,,"9,500TL",1,5,Kiralık,,Var,Boş,13020633,,
10000 TL,Genel Fiyat,Hayır,Boş,100 M2,50 TL,21 Ve Üzeri,Yok,90 M2,Konut,Açık Balkon,Betonarme,,1,06 Nisan 2023,Kot 3 (-3).Kat,İkinci El,Kombi Doğalgaz,2.5+1,06 Nisan 2023,1,Hayır,"8,000TL",1,4,Kiralık,5 M2,Var,Boş,13019780,2 M2,5 M2
14000 TL,Genel Fiyat,Hayır,Boş,85 M2,100 TL,21 Ve Üzeri,,80 M2,Konut,Kapalı Balkon,Betonarme,,1,17 Mayıs 2023,Yüksek Giriş,İkinci El,Kombi Doğalgaz,2+1,05 Nisan 2023,1,,"14,000TL",1,4,Kiralık,5 M2,Var,Boş,13014048,,5 M2
10000 TL,Genel Fiyat,Hayır,Eşyalı,90 M2,,21 Ve Üzeri,,85 M2,Konut,,Betonarme,,,04 Mayıs 2023,1.Kat,İkinci El,Kombi Doğalgaz,2+1,04 Nisan 2023,,Evet,"8,500TL",1,5,Kiralık,,,Boş,13009969,,
2 TL,Genel Fiyat,Evet,Boş,150 M2,1300 TL,15-Nov,Yok,135 M2,Konut,Açık Balkon,Betonarme,30 M2,3,04 Nisan 2023,5.Kat,İkinci El,Kombi Doğalgaz,3+1,04 Nisan 2023,1,,"22,000TL",2,5,Kiralık,6 M2,Var,Mülk Sahibi Oturuyor,13008718,,6 M2
15000 TL,Genel Fiyat,Hayır,,120 M2,,21 Ve Üzeri,,95 M2,Konut,,Betonarme,,,18 Mayıs 2023,Tam Bodrum.Kat,,Kombi Doğalgaz,3+1,01 Nisan 2023,,,"7,500TL",1,5,Kiralık,,,Boş,13000104,,
10000 TL,Genel Fiyat,Hayır,,75 M2,,21 Ve Üzeri,,70 M2,Konut,,,,,31 Mart 2023,1.Kat,,Kombi Doğalgaz,2+1,31 Mart 2023,,,"7,100TL",1,5,Kiralık,,Yok,Boş,12995769,,
,Genel Fiyat,Hayır,,100 M2,,21 Ve Üzeri,,1 M2,Konut,,,,,18 Mayıs 2023,2.Kat,,Kombi Doğalgaz,2+1,29 Mart 2023,,,"8,000TL",1,4,Kiralık,,,Boş,12984296,,
9000 TL,Genel Fiyat,Hayır,Boş,130 M2,,21 Ve Üzeri,,120 M2,Konut,,Betonarme,,1,17 Mayıs 2023,3.Kat,İkinci El,Kombi Doğalgaz,3+1,29 Mart 2023,,,"9,000TL",1,5,Kiralık,,,Boş,12981649,,
,Genel Fiyat,Hayır,Boş,135 M2,1500 TL,15-Nov,Yok,125 M2,Konut,"Açık Balkon, Kapalı Balkon",Betonarme,,2,01 Nisan 2023,4.Kat,İkinci El,Merkezi (Pay Ölçer),3+1,28 Mart 2023,2,Evet,"29,000TL",2,4,Kiralık,,Var,Mülk Sahibi Oturuyor,12975007,,6 M2
15000 TL,Genel Fiyat,Hayır,Eşyalı,100 M2,,16-20,,80 M2,Konut,,,,,17 Mayıs 2023,4.Kat,,Kombi Doğalgaz,2+1,28 Mart 2023,,,"8,000TL",1,4,Kiralık,,,Boş,12973451,,
,Genel Fiyat,Hayır,Eşyalı,120 M2,,16-20,Yok,90 M2,Konut,,,,,27 Mart 2023,3.Kat,,Kombi Doğalgaz,2+1,27 Mart 2023,,,"12,500TL",1,5,Kiralık,,,Boş,12969989,,
,Genel Fiyat,Hayır,Boş,105 M2,,21 Ve Üzeri,Yok,90 M2,Konut,,,,,27 Mart 2023,4.Kat,,Kombi Doğalgaz,2+1,27 Mart 2023,,,"8,500TL",1,5,Kiralık,,,Boş,12965730,,
,Genel Fiyat,Hayır,Eşyalı,120 M2,,21 Ve Üzeri,Yok,92 M2,Konut,,,,,07 Nisan 2023,1.Kat,,Kombi Doğalgaz,3+1,26 Mart 2023,,,"18,000TLarrow_downward%90",1,4,Kiralık,,,Boş,12962537,,
7500 TL,Genel Fiyat,Hayır,Boş,95 M2,50 TL,21 Ve Üzeri,Yok,90 M2,Konut,Açık Balkon,Betonarme,,2,21 Mayıs 2023,5.Kat,İkinci El,Kombi Doğalgaz,2+1,26 Mart 2023,1,Hayır,"7,500TL",1,5,Kiralık,,Var,Boş,12962302,,
,Genel Fiyat,Hayır,Boş,120 M2,,21 Ve Üzeri,Yok,115 M2,Konut,,,,,25 Mart 2023,3.Kat,,Kombi Doğalgaz,3+1,25 Mart 2023,,,"8,000TL",1,5,Kiralık,,,Boş,12957900,,
,Genel Fiyat,Hayır,Eşyalı,120 M2,30 TL,21 Ve Üzeri,,100 M2,Konut,Açık Balkon,Betonarme,20 M2,2,17 Nisan 2023,Yüksek Giriş,İkinci El,Kombi Doğalgaz,3+1,24 Mart 2023,1,Hayır,"12,000TL",1,5,Kiralık,10 M2,Var,Boş,12951779,5 M2,10 M2
,Genel Fiyat,Hayır,Eşyalı,100 M2,,0 (Yeni),Yok,95 M2,Konut,,,,,23 Mart 2023,5.Kat,,Kombi Doğalgaz,2+1,23 Mart 2023,,,"25,000TL",1,5,Kiralık,,,Boş,12946359,,
,Genel Fiyat,Hayır,Boş,105 M2,,21 Ve Üzeri,Yok,90 M2,Konut,,,,,23 Mart 2023,2.Kat,,Isıtma Yok,3+1,23 Mart 2023,,,"8,500TL",1,4,Kiralık,,,Boş,12946256,,
,Genel Fiyat,Hayır,Eşyalı,80 M2,,21 Ve Üzeri,Yok,70 M2,Konut,,,,,23 Mart 2023,1.Kat,,Kombi Doğalgaz,2+1,23 Mart 2023,,,"8,500TL",1,6,Kiralık,,,Kiracı Oturuyor,12946255,,
,Genel Fiyat,Hayır,Eşyalı,85 M2,,10-May,Yok,80 M2,Konut,,,,,23 Mart 2023,2.Kat,,Kombi Doğalgaz,2+1,23 Mart 2023,,,"23,500TL",1,5,Kiralık,,,Boş,12944809,,
,Genel Fiyat,Hayır,,130 M2,,0 (Yeni),,120 M2,Konut,,,,,17 Mayıs 2023,5.Kat,,Yerden Isıtma,3+2,23 Mart 2023,,,"20,000TL",2,5,Kiralık,,,Boş,12944370,,
,Genel Fiyat,Hayır,,80 M2,,0 (Yeni),,70 M2,Konut,,,,,17 Mayıs 2023,3.Kat,,Yerden Isıtma,2+1,23 Mart 2023,,,"14,000TL",1,5,Kiralık,,Var,Boş,12944313,,
,Genel Fiyat,Hayır,Eşyalı,120 M2,,21 Ve Üzeri,Yok,115 M2,Konut,,Betonarme,,2,22 Mart 2023,1.Kat,İkinci El,Kat Kaloriferi,3+1,22 Mart 2023,2,Hayır,"11,000TL",1,5,Kiralık,,Var,Boş,12936383,,
,Genel Fiyat,Hayır,Boş,187 M2,1800 TL,10-May,Yok,152 M2,Konut,,Betonarme,,3,06 Nisan 2023,12.Kat,İkinci El,Merkezi (Pay Ölçer),4+1,21 Mart 2023,1,Hayır,"27,000TLarrow_downward%10",3,14,Kiralık,,Var,Mülk Sahibi Oturuyor,12929668,,
,Genel Fiyat,Hayır,Eşyalı,75 M2,,21 Ve Üzeri,Yok,70 M2,Konut,,,,,29 Mart 2023,Düz Giriş,,Elektrikli Radyatör,2+1,20 Mart 2023,,,"8,000TL",1,4,Kiralık,,,Boş,12922540,,
,Genel Fiyat,Evet,,190 M2,,10-May,Yok,170 M2,Konut,,,,,21 Mart 2023,2.Kat,,Merkezi (Pay Ölçer),4+1,20 Mart 2023,,,"38,000TL",2,4,Kiralık,,,Boş,12917879,,
,Genel Fiyat,Hayır,Eşyalı,56 M2,,16-20,,5 M2,Konut,,,,,21 Mayıs 2023,2.Kat,,Kombi Doğalgaz,2+1,19 Mart 2023,,,"1,500TLarrow_downward%50",1,2,Kiralık,,Var,Boş,12913334,,
,Genel Fiyat,Hayır,,90 M2,,10-May,,80 M2,Konut,,,,,17 Mayıs 2023,5.Kat,,Kombi Doğalgaz,2+1,18 Mart 2023,,,"17,000TL",1,6,Kiralık,,Var,Boş,12911277,,
27000 TL,Genel Fiyat,Hayır,Boş,105 M2,0 TL,0 (Yeni),Yok,85 M2,Konut,Açık Balkon,Betonarme,,1,15 Mayıs 2023,5.Kat,İkinci El,Kombi Doğalgaz,2+1,18 Mart 2023,1,Hayır,"13,500TL",1,5,Kiralık,,Var,Boş,12909620,,
17000 TL,Birim Fiyat,Hayır,Eşyalı,75 M2,100 TL,21 Ve Üzeri,,70 M2,Konut,,,,1,29 Mart 2023,Düz Giriş,,Elektrikli Radyatör,2+1,16 Mart 2023,1,,"8,000TLarrow_downward%6",1,4,Kiralık,,Var,Boş,12899400,,
,Genel Fiyat,Evet,Boş,210 M2,,10-May,Yok,180 M2,Konut,,,,,15 Mart 2023,15.Kat,,Merkezi (Pay Ölçer),4+1,15 Mart 2023,,,"30,000TL",2,18,Kiralık,,,Boş,12895140,,
22000 TL,Birim Fiyat,Hayır,Eşyalı,87 M2,100 TL,21 Ve Üzeri,Yok,85 M2,Konut,Açık Balkon,Betonarme,25 M2,2,24 Nisan 2023,2.Kat,İkinci El,Kombi Doğalgaz,2+1,14 Mart 2023,1,Evet,"22,000TLarrow_downward%12",1,5,Kiralık,4 M2,Var,Boş,12884299,3 M2,3 M2
,Genel Fiyat,Hayır,,100 M2,,21 Ve Üzeri,,90 M2,Konut,,,,1,19 Nisan 2023,4.Kat,,Merkezi Doğalgaz,2+1,13 Mart 2023,,,"9,750TLarrow_downward%11",1,4,Kiralık,,Yok,Boş,12879337,,
15000 TL,Genel Fiyat,Evet,,110 M2,100 TL,21 Ve Üzeri,,100 M2,Konut,,,,,05 Nisan 2023,2.Kat,,Kombi Doğalgaz,2+1,12 Mart 2023,,,"7,500TLarrow_downward%9",1,4,Kiralık,,Var,Boş,12873288,,
,Genel Fiyat,Hayır,,120 M2,,10-May,,110 M2,Konut,,,,,12 Mart 2023,2.Kat,,Kombi Doğalgaz,3+1,12 Mart 2023,,,"1,499TL",2,5,Kiralık,,,Kiracı Oturuyor,12871620,,
15000 TL,Genel Fiyat,Hayır,Boş,85 M2,50 TL,21 Ve Üzeri,,80 M2,Konut,,Betonarme,,1,04 Mayıs 2023,Yüksek Giriş,İkinci El,Kombi Doğalgaz,2+1,11 Mart 2023,,Evet,"8,500TL",1,5,Kiralık,,,Boş,12868204,,
,Genel Fiyat,Hayır,,110 M2,50 TL,21 Ve Üzeri,,105 M2,Konut,Kapalı Balkon,Betonarme,,2,21 Mayıs 2023,3.Kat,İkinci El,Kombi Doğalgaz,3+1,10 Mart 2023,1,,"8,500TL",1,5,Kiralık,,Var,Boş,12862931,,
18000 TL,Genel Fiyat,Hayır,Boş,120 M2,100 TL,21 Ve Üzeri,Yok,115 M2,Konut,Açık Balkon,Betonarme,35 M2,1,13 Mart 2023,5.Kat,İkinci El,Kombi Doğalgaz,3+1,08 Mart 2023,1,Hayır,"9,000TLarrow_downward%5",1,5,Kiralık,5 M2,Var,Boş,12845640,3 M2,2 M2
,Genel Fiyat,Hayır,Eşyalı,120 M2,,21 Ve Üzeri,Yok,100 M2,Konut,,,,,12 Mayıs 2023,2.Kat,,Merkezi (Pay Ölçer),2+1,07 Mart 2023,,,"15,000TL",1,3,Kiralık,,,Boş,12837078,,
,Genel Fiyat,Hayır,Boş,120 M2,,21 Ve Üzeri,Yok,100 M2,Konut,,,,,14 Mart 2023,3.Kat,,Kombi Doğalgaz,3+1,07 Mart 2023,,,"9,000TL",1,5,Kiralık,,,Boş,12836512,,
,Genel Fiyat,Hayır,,120 M2,,21 Ve Üzeri,Yok,105 M2,Konut,,,,,13 Mart 2023,4.Kat,,Kombi Doğalgaz,3+1,07 Mart 2023,,,"8,500TL",1,6,Kiralık,,,Boş,12829734,,
,Genel Fiyat,Evet,Eşyalı,75 M2,,10-May,Yok,55 M2,Konut,,,,,06 Mart 2023,7.Kat,,Merkezi Doğalgaz,1+1,06 Mart 2023,,,"15,000TL",1,17,Kiralık,,,Boş,12825447,,
,Genel Fiyat,Evet,Boş,73 M2,,10-May,Yok,55 M2,Konut,,,,,06 Mart 2023,Düz Giriş,,Merkezi (Pay Ölçer),1+1,06 Mart 2023,,,"15,000TL",1,16,Kiralık,,,Boş,12825437,,
20000 TL,Genel Fiyat,Hayır,Boş,140 M2,50 TL,16-20,,130 M2,Konut,,Betonarme,,1,11 Mayıs 2023,Düz Giriş,İkinci El,Klimalı,2+0,02 Mart 2023,,,"20,000TLarrow_downward%20",Yok,6,Kiralık,,,Boş,12797522,,
15000 TL,Birim Fiyat,Hayır,Boş,140 M2,60 TL,21 Ve Üzeri,,130 M2,Konut,Açık Balkon,Betonarme,,2,10 Mayıs 2023,6.Kat,İkinci El,Kombi Fueloil,3+1,28 Şubat 2023,2,,"9,000TLarrow_downward%10",1,6,Kiralık,,Var,Boş,12788535,2 M2,
10000 TL,Genel Fiyat,Hayır,,150 M2,,21 Ve Üzeri,,115 M2,Konut,Kapalı Balkon,Betonarme,,1,02 Mart 2023,2.Kat,İkinci El,Kombi Doğalgaz,3+1,28 Şubat 2023,2,Evet,"11,000TLarrow_downward%15",1,5,Kiralık,,Var,Boş,12787879,,
15000 TL,Genel Fiyat,Hayır,Eşyalı,125 M2,,21 Ve Üzeri,,115 M2,Konut,,,,,27 Şubat 2023,3.Kat,,Kombi Doğalgaz,2+1,27 Şubat 2023,,,"10,000TL",1,5,Kiralık,,Yok,Boş,12783727,,
10000 TL,Genel Fiyat,Hayır,,120 M2,,21 Ve Üzeri,,110 M2,Konut,,,,,27 Şubat 2023,5.Kat,,Kombi Doğalgaz,3+1,27 Şubat 2023,2,,"8,250TL",1,5,Kiralık,,Var,Boş,12783688,,
